contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
1,Networking,,"61.561642, 158.806092",2024-12-02T14:00:59.756726Z,MockSource,Networking,USD,97.61,https://placeholder.url,33.85
2,Holiday,,"55.950503, -140.128823",2024-12-07T14:45:59.756726Z,MockSource,Holiday,USD,61.11,https://placeholder.url,12.36
3,Science,,"-81.237282, -179.709128",2024-12-01T13:00:59.756726Z,MockSource,Science,USD,23.0,https://placeholder.url,90.32
4,Exhibitions,,"71.953033, 128.547855",2024-12-01T16:45:59.756726Z,MockSource,Exhibitions,USD,4.7,https://placeholder.url,79.62
5,Festivals,,"55.948672, 39.686666",2024-12-22T18:00:59.756726Z,MockSource,Festivals,USD,102.27,https://placeholder.url,48.76
6,Conferences,,"-40.475728, -74.730614",2024-12-01T11:15:59.756726Z,MockSource,Conferences,USD,400.56,https://placeholder.url,96.12
7,Wellness,,"-37.464764, -58.560223",2024-12-16T21:00:59.756726Z,MockSource,Wellness,USD,44.29,https://placeholder.url,33.78
8,Community,,"-2.28132, -129.263354",2024-12-01T17:30:59.756726Z,MockSource,Community,USD,13.99,https://placeholder.url,63.25
9,Sports,,"-29.096952, 125.95442",2024-12-01T17:45:59.756726Z,MockSource,Sports,USD,203.62,https://placeholder.url,74.61
10,Community,,"-66.478383, -1.217067",2024-12-02T23:00:59.756726Z,MockSource,Community,USD,9.15,https://placeholder.url,46.29
11,Networking,,"59.986376, -61.128051",2024-12-01T13:45:59.756726Z,MockSource,Networking,USD,118.67,https://placeholder.url,6.48
12,Gaming,,"-46.639283, -158.378005",2024-12-02T12:15:59.756726Z,MockSource,Gaming,USD,33.17,https://placeholder.url,33.13
13,Outdoors,,"-82.343858, 7.719032",2024-12-12T14:45:59.756726Z,MockSource,Outdoors,USD,29.79,https://placeholder.url,54.93
14,Theater,,"84.838744, -35.555205",2024-12-25T20:00:59.756726Z,MockSource,Theater,USD,59.62,https://placeholder.url,55.78
15,Family,,"-40.30157, -3.047935",2024-12-13T17:00:59.756726Z,MockSource,Family,USD,1.88,https://placeholder.url,18.29
16,Community,,"51.568752, -83.226986",2024-12-22T14:15:59.756726Z,MockSource,Community,USD,19.39,https://placeholder.url,0.04
17,Music,,"-68.381162, 65.921427",2024-12-15T20:15:59.756726Z,MockSource,Music,USD,115.2,https://placeholder.url,73.24
18,Exhibitions,,"-48.343251, -100.502191",2024-12-01T12:00:59.756726Z,MockSource,Exhibitions,USD,94.88,https://placeholder.url,15.23
19,Exhibitions,,"30.117351, 104.813007",2024-12-02T22:30:59.756726Z,MockSource,Exhibitions,USD,41.9,https://placeholder.url,83.28
20,Film,,"14.241753, 9.341913",2024-12-03T10:30:59.756726Z,MockSource,Film,USD,24.81,https://placeholder.url,46.23
21,Community,,"8.287404, 24.948739",2024-12-01T20:30:59.757724Z,MockSource,Community,USD,13.63,https://placeholder.url,60.15
