Event ID,Event Type,description,location,source,type,currencyCode,Price ($),url,Distance (km)
273,Festivals,,"59.62616, -113.358979",MockSource,Festivals,USD,71.8,https://placeholder.url,0.0
297,Festivals,,"-0.74037, 105.83331",MockSource,Festivals,USD,87.76,https://placeholder.url,7.35
99,Festivals,,"36.811588, 143.355771",MockSource,Festivals,USD,102.38,https://placeholder.url,2.95
218,Festivals,,"30.464261, 46.577024",MockSource,Festivals,USD,110.87,https://placeholder.url,2.63
924,Pets,,"-51.359758, -157.88149",MockSource,Pets,USD,43.46,https://placeholder.url,0.8
485,Pets,,"34.086048, 65.311531",MockSource,Pets,USD,39.75,https://placeholder.url,5.68
860,Music,,"-56.444805, -3.575231",MockSource,Music,USD,99.01,https://placeholder.url,4.94
759,Nightlife,,"65.069317, 104.323874",MockSource,Nightlife,USD,51.94,https://placeholder.url,9.69
120,Wellness,,"-14.701867, -17.417816",MockSource,Wellness,USD,35.02,https://placeholder.url,7.95
444,Wellness,,"-27.199767, 6.728781",MockSource,Wellness,USD,39.12,https://placeholder.url,3.94
469,Networking,,"-34.362288, -89.441009",MockSource,Networking,USD,52.53,https://placeholder.url,6.49
505,Charity,,"30.47667, 61.12497",MockSource,Charity,USD,47.18,https://placeholder.url,3.85
813,Workshops,,"64.789213, 155.956677",MockSource,Workshops,USD,49.52,https://placeholder.url,7.25
333,Gaming,,"76.361257, 48.776268",MockSource,Gaming,USD,42.68,https://placeholder.url,1.23
361,Festivals,,"53.5905, -89.497901",MockSource,Festivals,USD,51.59,https://placeholder.url,1.62
995,Family,,"-17.503948, -11.138235",MockSource,Family,USD,33.51,https://placeholder.url,0.17
789,Music,,"55.796749, -67.597796",MockSource,Music,USD,97.06,https://placeholder.url,16.13
989,Music,,"0.681514, 145.934956",MockSource,Music,USD,49.94,https://placeholder.url,9.59
210,Science,,"44.527449, 160.92529",MockSource,Science,USD,94.71,https://placeholder.url,0.32
841,Science,,"-10.293258, 9.881232",MockSource,Science,USD,55.8,https://placeholder.url,4.15
